grape,region,vintage,estate,grape_law,region_law,vintage_law,country,designation
chardonnay,chile,2023,True,0.85,0.85,0.85,chile,Gran Reserva
merlot,chile,2016,False,0.85,0.85,0.85,chile,Reserva
carmenere,chile,2016,True,0.85,0.85,0.85,chile,Reserva
moscatel of alexandria,chile,2019,True,0.85,0.85,0.85,chile,Gran Reserva
cabernet sauvignon,chile,2022,False,0.85,0.85,0.85,chile,Gran Reserva
pais,chile,2017,True,0.85,0.85,0.85,chile,Reserva Especial
merlot,chile,2017,True,0.85,0.85,0.85,chile,DO
merlot,chile,2020,True,0.85,0.85,0.85,chile,Gran Reserva
moscatel of alexandria,chile,2020,False,0.85,0.85,0.85,chile,Reserva Especial
moscatel of alexandria,chile,2019,True,0.85,0.85,0.85,chile,DO
carmenere,chile,2021,False,0.85,0.85,0.85,chile,Reserva
moscatel of alexandria,chile,2023,True,0.85,0.85,0.85,chile,Reserva Especial
carmenere,chile,2019,False,0.85,0.85,0.85,chile,DO
merlot,chile,2022,False,0.85,0.85,0.85,chile,Reserva
moscatel of alexandria,chile,2015,True,0.85,0.85,0.85,chile,Reserva
carmenere,maipo valley,2020,True,0.85,0.85,0.85,chile,Reserva Especial
carmenere,maipo valley,2017,True,0.85,0.85,0.85,chile,Reserva Especial
carmenere,maipo valley,2022,True,0.85,0.85,0.85,chile,DO
merlot,maipo valley,2018,False,0.85,0.85,0.85,chile,Gran Reserva
carmenere,maipo valley,2021,True,0.85,0.85,0.85,chile,Reserva Especial
chardonnay,maipo valley,2016,False,0.85,0.85,0.85,chile,Gran Reserva
cabernet sauvignon,maipo valley,2019,True,0.85,0.85,0.85,chile,Gran Reserva
pais,maipo valley,2024,True,0.85,0.85,0.85,chile,Reserva Especial
pais,maipo valley,2015,True,0.85,0.85,0.85,chile,Reserva
pais,maipo valley,2022,True,0.85,0.85,0.85,chile,Reserva Especial
sauvignon blanc,maipo valley,2019,False,0.85,0.85,0.85,chile,Gran Reserva
sauvignon blanc,maipo valley,2020,False,0.85,0.85,0.85,chile,DO
cabernet sauvignon,maipo valley,2015,False,0.85,0.85,0.85,chile,Gran Reserva
sauvignon blanc,maipo valley,2023,True,0.85,0.85,0.85,chile,Reserva Especial
sauvignon blanc,maipo valley,2020,False,0.85,0.85,0.85,chile,Reserva Especial
pais,rapel valley,2022,True,0.85,0.85,0.85,chile,DO
pais,rapel valley,2021,True,0.85,0.85,0.85,chile,Gran Reserva
sauvignon blanc,rapel valley,2015,True,0.85,0.85,0.85,chile,DO
moscatel of alexandria,rapel valley,2019,False,0.85,0.85,0.85,chile,Reserva Especial
carmenere,rapel valley,2019,True,0.85,0.85,0.85,chile,Gran Reserva
moscatel of alexandria,rapel valley,2018,False,0.85,0.85,0.85,chile,Gran Reserva
moscatel of alexandria,rapel valley,2023,True,0.85,0.85,0.85,chile,Reserva Especial
cabernet sauvignon,rapel valley,2021,False,0.85,0.85,0.85,chile,Reserva Especial
moscatel of alexandria,rapel valley,2022,False,0.85,0.85,0.85,chile,Reserva Especial
cabernet sauvignon,rapel valley,2021,False,0.85,0.85,0.85,chile,Gran Reserva
sauvignon blanc,rapel valley,2023,True,0.85,0.85,0.85,chile,Gran Reserva
carmenere,rapel valley,2018,True,0.85,0.85,0.85,chile,Reserva
pais,rapel valley,2018,False,0.85,0.85,0.85,chile,Gran Reserva
chardonnay,rapel valley,2023,False,0.85,0.85,0.85,chile,DO
merlot,rapel valley,2024,False,0.85,0.85,0.85,chile,DO
merlot,colchagua valley,2015,True,0.85,0.85,0.85,chile,DO
pais,colchagua valley,2021,True,0.85,0.85,0.85,chile,Gran Reserva
pais,colchagua valley,2023,False,0.85,0.85,0.85,chile,DO
sauvignon blanc,colchagua valley,2020,False,0.85,0.85,0.85,chile,Reserva
moscatel of alexandria,colchagua valley,2024,False,0.85,0.85,0.85,chile,DO
merlot,colchagua valley,2022,True,0.85,0.85,0.85,chile,DO
chardonnay,colchagua valley,2019,False,0.85,0.85,0.85,chile,Reserva Especial
chardonnay,colchagua valley,2017,True,0.85,0.85,0.85,chile,Reserva
carmenere,colchagua valley,2022,True,0.85,0.85,0.85,chile,Reserva Especial
pais,colchagua valley,2024,True,0.85,0.85,0.85,chile,Reserva Especial
moscatel of alexandria,colchagua valley,2016,True,0.85,0.85,0.85,chile,Gran Reserva
merlot,colchagua valley,2022,False,0.85,0.85,0.85,chile,Reserva
chardonnay,colchagua valley,2017,False,0.85,0.85,0.85,chile,Gran Reserva
pais,colchagua valley,2021,False,0.85,0.85,0.85,chile,DO
sauvignon blanc,colchagua valley,2016,False,0.85,0.85,0.85,chile,DO
merlot,maule valley,2024,True,0.85,0.85,0.85,chile,Reserva Especial
merlot,maule valley,2020,True,0.85,0.85,0.85,chile,DO
cabernet sauvignon,maule valley,2022,False,0.85,0.85,0.85,chile,Reserva
chardonnay,maule valley,2019,False,0.85,0.85,0.85,chile,Gran Reserva
moscatel of alexandria,maule valley,2022,False,0.85,0.85,0.85,chile,Reserva
carmenere,maule valley,2015,True,0.85,0.85,0.85,chile,Reserva
moscatel of alexandria,maule valley,2021,True,0.85,0.85,0.85,chile,Reserva Especial
merlot,maule valley,2024,False,0.85,0.85,0.85,chile,Gran Reserva
carmenere,maule valley,2021,False,0.85,0.85,0.85,chile,Reserva
carmenere,maule valley,2021,True,0.85,0.85,0.85,chile,Reserva Especial
chardonnay,maule valley,2022,True,0.85,0.85,0.85,chile,Reserva
cabernet sauvignon,maule valley,2024,False,0.85,0.85,0.85,chile,DO
cabernet sauvignon,maule valley,2017,False,0.85,0.85,0.85,chile,Reserva
sauvignon blanc,maule valley,2022,False,0.85,0.85,0.85,chile,DO
pais,maule valley,2022,False,0.85,0.85,0.85,chile,DO
sauvignon blanc,cachapoal valley,2024,True,0.85,0.85,0.85,chile,Reserva
moscatel of alexandria,cachapoal valley,2017,False,0.85,0.85,0.85,chile,Gran Reserva
pais,cachapoal valley,2021,False,0.85,0.85,0.85,chile,DO
carmenere,cachapoal valley,2021,False,0.85,0.85,0.85,chile,Reserva
carmenere,cachapoal valley,2019,False,0.85,0.85,0.85,chile,DO
cabernet sauvignon,cachapoal valley,2024,False,0.85,0.85,0.85,chile,Reserva
carmenere,cachapoal valley,2020,True,0.85,0.85,0.85,chile,Gran Reserva
pais,cachapoal valley,2019,False,0.85,0.85,0.85,chile,Gran Reserva
moscatel of alexandria,cachapoal valley,2018,True,0.85,0.85,0.85,chile,DO
pais,cachapoal valley,2021,False,0.85,0.85,0.85,chile,Gran Reserva
merlot,cachapoal valley,2019,True,0.85,0.85,0.85,chile,Reserva
merlot,cachapoal valley,2022,False,0.85,0.85,0.85,chile,Reserva Especial
moscatel of alexandria,cachapoal valley,2017,False,0.85,0.85,0.85,chile,DO
pais,cachapoal valley,2022,False,0.85,0.85,0.85,chile,Reserva Especial
merlot,cachapoal valley,2019,False,0.85,0.85,0.85,chile,DO
carmenere,limari valley,2017,True,0.85,0.85,0.85,chile,DO
merlot,limari valley,2020,True,0.85,0.85,0.85,chile,DO
moscatel of alexandria,limari valley,2023,True,0.85,0.85,0.85,chile,DO
chardonnay,limari valley,2021,False,0.85,0.85,0.85,chile,DO
carmenere,limari valley,2015,False,0.85,0.85,0.85,chile,DO
pais,limari valley,2015,False,0.85,0.85,0.85,chile,DO
chardonnay,limari valley,2016,True,0.85,0.85,0.85,chile,DO
pais,limari valley,2024,True,0.85,0.85,0.85,chile,DO
carmenere,limari valley,2021,False,0.85,0.85,0.85,chile,DO
merlot,limari valley,2021,False,0.85,0.85,0.85,chile,DO
merlot,limari valley,2017,True,0.85,0.85,0.85,chile,DO
carmenere,limari valley,2022,False,0.85,0.85,0.85,chile,DO
pais,limari valley,2021,True,0.85,0.85,0.85,chile,DO
cabernet sauvignon,limari valley,2018,False,0.85,0.85,0.85,chile,DO
pais,limari valley,2024,True,0.85,0.85,0.85,chile,DO
cabernet sauvignon,curico valley,2018,False,0.85,0.85,0.85,chile,Reserva
cabernet sauvignon,curico valley,2022,False,0.85,0.85,0.85,chile,DO
pais,curico valley,2019,False,0.85,0.85,0.85,chile,DO
