grape,region,vintage,estate,grape_law,region_law,vintage_law,country,designation
chardonnay,wa,2015,False,0.75,0.95,0.85,washington,Country
pinot gris,wa,2024,False,0.75,0.95,0.85,washington,Country
pinot gris,wa,2018,False,0.75,0.95,0.85,washington,Country
chardonnay,wa,2015,False,0.75,0.95,0.85,washington,Country
cabernet sauvignon,wa,2022,False,0.75,0.95,0.85,washington,Country
merlot,wa,2020,False,0.75,0.95,0.85,washington,Country
cabernet sauvignon,wa,2023,False,0.75,0.95,0.85,washington,Country
pinot gris,wa,2024,False,0.75,0.95,0.85,washington,Country
chardonnay,wa,2023,False,0.75,0.95,0.85,washington,Country
cabernet sauvignon,wa,2016,False,0.75,0.95,0.85,washington,Country
cabernet sauvignon,wa,2018,True,0.75,1.0,0.85,washington,Estate
pinot gris,wa,2018,False,0.75,0.95,0.85,washington,Country
chardonnay,wa,2019,True,0.75,1.0,0.85,washington,Estate
pinot gris,wa,2021,False,0.75,0.95,0.85,washington,Country
merlot,wa,2019,False,0.75,0.95,0.85,washington,Country
syrah,wa,2024,False,0.75,0.95,0.85,washington,Country
riesling,wa,2017,False,0.75,0.95,0.85,washington,Country
merlot,wa,2016,False,0.75,0.95,0.85,washington,Country
pinot gris,washington,2019,True,0.75,1.0,0.85,washington,Estate
merlot,washington,2023,False,0.75,0.95,0.85,washington,Country
pinot gris,washington,2021,False,0.75,0.95,0.85,washington,Country
merlot,washington,2019,False,0.75,0.95,0.85,washington,Country
merlot,washington,2019,False,0.75,0.95,0.85,washington,Country
riesling,washington,2015,False,0.75,0.95,0.85,washington,Country
syrah,washington,2020,False,0.75,0.95,0.85,washington,Country
syrah,washington,2024,False,0.75,0.95,0.85,washington,Country
merlot,washington,2015,False,0.75,0.95,0.85,washington,Country
cabernet sauvignon,washington,2020,True,0.75,1.0,0.85,washington,Estate
cabernet sauvignon,washington,2015,False,0.75,0.95,0.85,washington,Country
chardonnay,washington,2015,False,0.75,0.95,0.85,washington,Country
syrah,washington,2021,False,0.75,0.95,0.85,washington,Country
syrah,washington,2016,False,0.75,0.95,0.85,washington,Country
riesling,washington,2024,False,0.75,0.95,0.85,washington,Country
merlot,washington,2019,False,0.75,0.95,0.85,washington,Country
merlot,washington,2018,True,0.75,1.0,0.85,washington,Estate
cabernet sauvignon,washington,2022,False,0.75,0.95,0.85,washington,Country
merlot,columbia valley,2017,False,0.75,0.95,0.95,washington,AVA
syrah,columbia valley,2020,True,0.75,1.0,0.95,washington,Estate
cabernet sauvignon,columbia valley,2024,False,0.75,0.95,0.95,washington,AVA
riesling,columbia valley,2019,False,0.75,0.95,0.95,washington,AVA
riesling,columbia valley,2021,False,0.75,0.95,0.95,washington,AVA
cabernet sauvignon,columbia valley,2015,False,0.75,0.95,0.95,washington,AVA
merlot,yakima valley,2023,True,0.75,1.0,0.95,washington,Estate
pinot gris,yakima valley,2023,False,0.75,0.95,0.95,washington,AVA
merlot,yakima valley,2019,False,0.75,0.95,0.95,washington,AVA
syrah,yakima valley,2015,True,0.75,1.0,0.95,washington,Estate
syrah,yakima valley,2020,True,0.75,1.0,0.95,washington,Estate
cabernet sauvignon,yakima valley,2016,True,0.75,1.0,0.95,washington,Estate
cabernet sauvignon,walla walla valley,2021,False,0.75,0.95,0.95,washington,AVA
cabernet sauvignon,walla walla valley,2021,False,0.75,0.95,0.95,washington,AVA
riesling,walla walla valley,2024,False,0.75,0.95,0.95,washington,AVA
cabernet sauvignon,walla walla valley,2021,False,0.75,0.95,0.95,washington,AVA
cabernet sauvignon,walla walla valley,2019,False,0.75,0.95,0.95,washington,AVA
merlot,walla walla valley,2016,True,0.75,1.0,0.95,washington,Estate
syrah,red mountain,2017,False,0.75,0.95,0.95,washington,AVA
riesling,red mountain,2016,False,0.75,0.95,0.95,washington,AVA
pinot gris,red mountain,2024,False,0.75,0.95,0.95,washington,AVA
riesling,red mountain,2024,True,0.75,1.0,0.95,washington,Estate
chardonnay,red mountain,2017,False,0.75,0.95,0.95,washington,AVA
syrah,red mountain,2024,True,0.75,1.0,0.95,washington,Estate
pinot gris,horse heaven hills,2020,False,0.75,0.95,0.95,washington,AVA
syrah,horse heaven hills,2021,False,0.75,0.95,0.95,washington,AVA
merlot,horse heaven hills,2017,False,0.75,0.95,0.95,washington,AVA
merlot,horse heaven hills,2019,False,0.75,0.95,0.95,washington,AVA
syrah,horse heaven hills,2017,False,0.75,0.95,0.95,washington,AVA
merlot,horse heaven hills,2022,False,0.75,0.95,0.95,washington,AVA
cabernet sauvignon,wahluke slope,2015,False,0.75,0.95,0.95,washington,AVA
