grape,region,vintage,estate,grape_law,region_law,vintage_law,country,designation
pinot noir,marlborough,2022,False,0.85,0.85,0.85,new zealand,GI
pinot gris,marlborough,2017,True,0.85,0.85,0.85,new zealand,GI
cabernet sauvignon,marlborough,2022,False,0.85,0.85,0.85,new zealand,Sub-region
chardonnay,marlborough,2024,True,0.85,0.85,0.85,new zealand,Country
pinot gris,marlborough,2017,False,0.85,0.85,0.85,new zealand,Country
malbec,marlborough,2018,True,0.85,0.85,0.85,new zealand,GI
merlot,marlborough,2020,True,0.85,0.85,0.85,new zealand,Sub-region
sauvignon blanc,marlborough,2020,True,0.85,0.85,0.85,new zealand,Sub-region
malbec,marlborough,2022,True,0.85,0.85,0.85,new zealand,Sub-region
pinot noir,marlborough,2024,True,0.85,0.85,0.85,new zealand,Country
riesling,marlborough,2024,True,0.85,0.85,0.85,new zealand,GI
chardonnay,marlborough,2024,True,0.85,0.85,0.85,new zealand,Country
pinot noir,marlborough,2023,False,0.85,0.85,0.85,new zealand,GI
riesling,marlborough,2017,False,0.85,0.85,0.85,new zealand,Sub-region
malbec,marlborough,2016,True,0.85,0.85,0.85,new zealand,Sub-region
cabernet sauvignon,martinborough,2015,True,0.85,0.85,0.85,new zealand,GI
syrah,martinborough,2023,True,0.85,0.85,0.85,new zealand,GI
pinot gris,martinborough,2016,False,0.85,0.85,0.85,new zealand,Country
merlot,martinborough,2019,False,0.85,0.85,0.85,new zealand,Country
pinot gris,martinborough,2024,True,0.85,0.85,0.85,new zealand,Country
sauvignon blanc,martinborough,2016,False,0.85,0.85,0.85,new zealand,GI
cabernet sauvignon,martinborough,2023,True,0.85,0.85,0.85,new zealand,Country
merlot,martinborough,2019,True,0.85,0.85,0.85,new zealand,Sub-region
pinot gris,martinborough,2018,True,0.85,0.85,0.85,new zealand,Country
malbec,martinborough,2021,True,0.85,0.85,0.85,new zealand,Country
merlot,martinborough,2018,True,0.85,0.85,0.85,new zealand,Country
riesling,martinborough,2015,True,0.85,0.85,0.85,new zealand,GI
syrah,martinborough,2020,False,0.85,0.85,0.85,new zealand,Country
sauvignon blanc,martinborough,2024,True,0.85,0.85,0.85,new zealand,GI
cabernet sauvignon,martinborough,2018,False,0.85,0.85,0.85,new zealand,Sub-region
pinot gris,central otago,2017,True,0.85,0.85,0.85,new zealand,Country
pinot gris,central otago,2023,False,0.85,0.85,0.85,new zealand,GI
shiraz,central otago,2015,False,0.85,0.85,0.85,new zealand,Sub-region
merlot,central otago,2024,False,0.85,0.85,0.85,new zealand,Country
cabernet sauvignon,central otago,2017,True,0.85,0.85,0.85,new zealand,Sub-region
pinot gris,central otago,2022,False,0.85,0.85,0.85,new zealand,Sub-region
cabernet sauvignon,central otago,2018,False,0.85,0.85,0.85,new zealand,GI
shiraz,central otago,2017,True,0.85,0.85,0.85,new zealand,Country
syrah,central otago,2022,False,0.85,0.85,0.85,new zealand,Sub-region
shiraz,central otago,2022,False,0.85,0.85,0.85,new zealand,Sub-region
riesling,central otago,2019,False,0.85,0.85,0.85,new zealand,GI
cabernet sauvignon,central otago,2017,False,0.85,0.85,0.85,new zealand,Sub-region
sauvignon blanc,central otago,2017,True,0.85,0.85,0.85,new zealand,Sub-region
sauvignon blanc,central otago,2023,True,0.85,0.85,0.85,new zealand,Sub-region
merlot,central otago,2015,False,0.85,0.85,0.85,new zealand,Sub-region
merlot,hawke's bay,2018,False,0.85,0.85,0.85,new zealand,Sub-region
malbec,hawke's bay,2017,False,0.85,0.85,0.85,new zealand,Country
syrah,hawke's bay,2024,False,0.85,0.85,0.85,new zealand,GI
cabernet sauvignon,hawke's bay,2019,False,0.85,0.85,0.85,new zealand,GI
pinot gris,hawke's bay,2021,False,0.85,0.85,0.85,new zealand,GI
sauvignon blanc,hawke's bay,2015,True,0.85,0.85,0.85,new zealand,Sub-region
pinot gris,hawke's bay,2018,True,0.85,0.85,0.85,new zealand,GI
cabernet sauvignon,hawke's bay,2022,True,0.85,0.85,0.85,new zealand,GI
pinot gris,hawke's bay,2018,True,0.85,0.85,0.85,new zealand,Country
merlot,hawke's bay,2022,True,0.85,0.85,0.85,new zealand,Sub-region
shiraz,hawke's bay,2024,False,0.85,0.85,0.85,new zealand,Sub-region
sauvignon blanc,hawke's bay,2021,True,0.85,0.85,0.85,new zealand,Sub-region
sauvignon blanc,hawke's bay,2016,True,0.85,0.85,0.85,new zealand,Sub-region
malbec,hawke's bay,2023,True,0.85,0.85,0.85,new zealand,GI
syrah,hawke's bay,2022,False,0.85,0.85,0.85,new zealand,GI
pinot gris,waipara valley,2016,False,0.85,0.85,0.85,new zealand,Country
syrah,waipara valley,2024,True,0.85,0.85,0.85,new zealand,Country
merlot,waipara valley,2018,False,0.85,0.85,0.85,new zealand,GI
syrah,waipara valley,2020,False,0.85,0.85,0.85,new zealand,Country
shiraz,waipara valley,2024,False,0.85,0.85,0.85,new zealand,Country
pinot noir,waipara valley,2024,False,0.85,0.85,0.85,new zealand,Country
malbec,waipara valley,2019,False,0.85,0.85,0.85,new zealand,Country
merlot,waipara valley,2015,False,0.85,0.85,0.85,new zealand,Country
chardonnay,waipara valley,2015,True,0.85,0.85,0.85,new zealand,Sub-region
pinot noir,waipara valley,2019,False,0.85,0.85,0.85,new zealand,Country
chardonnay,waipara valley,2023,True,0.85,0.85,0.85,new zealand,GI
shiraz,waipara valley,2021,True,0.85,0.85,0.85,new zealand,Sub-region
merlot,waipara valley,2022,True,0.85,0.85,0.85,new zealand,Sub-region
syrah,waipara valley,2019,False,0.85,0.85,0.85,new zealand,GI
pinot gris,waipara valley,2023,True,0.85,0.85,0.85,new zealand,GI
sauvignon blanc,new zealand,2024,True,0.85,0.85,0.85,new zealand,GI
riesling,new zealand,2023,False,0.85,0.85,0.85,new zealand,GI
merlot,new zealand,2019,True,0.85,0.85,0.85,new zealand,GI
