img1	BROADBENT VINHO VERDE DENOMINAÇÃO DE ORIGEM CONTROLADA Product of Portugal	0 408 489 645
img2	RORIZ	313 127 375 143
img2	PRAZO DE RORIZ	122 183 564 238
img2	2019 DOURO	261 279 427 359
img2	PRATS & SYMINGTON DOURO PORTUGAL	123 550 563 571
img2	P+S	274 588 414 650
img3	Petite Ruche CROZES - HERMITAGE APPELLATION D'ORIGINE PROTEGEE	1 30 506 274
img3	M.CHAPOUTIER FAC ET SPERA	53 351 426 456
img4	Viognier DOMAINE DE GOURNIER 2010	-2 92 293 421
img5	La Nerthe LES CASSAGNES CÔTES-DU-RHÔNE 2023 MIS EN BOUTEILLE AU DOMAINE	23 122 452 531
img6	La Dame SAINT-JOSEPH	33 462 460 645
img7	KANONKOP ESTATE WINE Pinotage 2014 GROWN, PRODUCED & BOTTLED ON THE ESTATE WINE OF ORIGIN SIMONSBERG STELLENBOSCH PRODUCE OF SOUTH AFRICA	38 220 545 574
img8	2013 PINOTAGE	68 98 310 212
img8	FLEURDUCAP BERGKELDER SELECTION	66 265 504 453
img8	WINE OF ORIGIN WESTERN CAPE PRODUCED, MATURED, AND BOTTLED AT THE BERGKELDER, STELLENBOSCH PRODUCT OF SOUTH AFRICA	74 494 487 629
img9	SINCE	97 96 196 126
img9	1693	396 102 489 133
img9	MEERLUST 2006 Rubicon 74% CABERNET SAUVIGNON 18% CABERNET FRANC, 8% MERLOT ESTATE WINE RED WINE OF ORIGIN STELLENBOSCH GROWN, MADE AND BOTTLED ON THE MEERLUST ESTATE i cohTents PROPRIETOR 750ML HANNES MYBURGH ALC. 14.0% BY V PRoducT Of South AFRICA	-1 194 565 648
img10	La Caña	31 23 364 159
img10	Albariño	103 644 272 717
img11	PERPETUAL	181 206 806 306
img11	PRIORAT Denoennocio &Orgcn Qunlticada	371 417 620 475
img11	FAMILIA	431 550 559 570
img11	TORRES Scsd 0 1870 PRdduci OF Spain	338 576 656 728
img11	14,5n	16 682 102 730
img11	e7ba	884 682 978 730
img12	SIERRA	102 0 370 46
img12	CANTABRIA DESDE 1870	36 34 433 114
img12	CRIANZA 2019	138 316 332 372
img12	ColECCionistas D Vinedos	73 401 395 417
